"colmaxidx","colmaxval"
5046,2.03594534032486
3111,2.74552376361333
6631,2.38099389330699
6632,3.03683384062402
5326,2.68739682377115
5326,2.9397195773207
5325,3.40570863009207
3120,2.73382054079511
3214,1.93848748032331
6631,2.45835460832234
3111,2.96901566939378
5326,2.58703825478467
5326,1.90628102194501
6757,1.9304578938941
6757,1.91354058821573
3115,2.72634503817898
6154,1.61070488415248
3114,2.7349502468683
3114,2.97513242107011
3115,2.09345901597328
6631,2.93893993420803
5325,2.78259783037249
3120,2.63706136262514
3111,2.90639672495444
6631,3.36165104295941
4799,1.49261983689663
3115,2.70578756624401
3120,2.74550676603077
6632,3.09887675912342
5326,2.1652828171112
6757,1.81534137492724
6631,1.97382434900914
3115,2.87887802730783
5623,2.50893552685569
6631,2.91041048396898
6632,3.22200502244952
6624,3.18560136400623
4663,2.56018828461156
3115,2.00504522576331
3120,3.0635650313055
6632,2.98580010938067
6632,3.03228078594524
6757,1.62594108025412
5046,2.34858777802886
6592,1.80251998100461
3120,2.93276243993709
6624,2.64943064154388
5325,3.00873266734178
3115,2.12626764092794
4308,2.06186413744309
3114,2.85974763337221
5325,2.63042518978395
3115,2.40329780605094
3120,3.2212296393427
3115,2.63089166301904
5325,2.47885864307874
6631,2.90673952370643
4678,2.37167907343303
6945,1.85092295954737
6624,3.32542122235962
3114,3.13730890253922
3115,2.54896909186314
4934,2.50868624000738
4934,2.80275336393914
6624,2.76659905541936
4934,2.87020088469685
6704,1.98849730907308
5826,2.50184490900257
6835,2.81066539448953
1181,2.41231615640618
5237,2.73559847473206
2166,2.00528854246133
2695,1.9431887273152
6624,2.60188927446844
4336,2.29372914103481
5405,2.13083354683551
6256,2.5107371784826
1036,2.93551828865962
961,2.16109834287529
2511,2.50275492177354
3442,2.34848405387602
3285,3.84273660871555
5778,2.4910996500061
3154,3.31689867597162
4190,3.19095938345398
1383,2.41570689911334
7146,1.63938798635521
2902,1.97699994579502
5820,4.26597333983388
2790,4.14016301763054
637,2.37429212488735
1810,2.07995015885807
6258,2.12451532257577
5769,1.62709415414228
1672,3.66887010218771
5464,2.49021077981416
1657,2.18784372018379
6690,3.48235501886952
523,2.43817014822212
4694,1.80051957260374
5430,2.89330041914957
7051,3.06173319040359
5174,2.92881607738695
3110,2.29123431147325
1751,2.02764247259635
4129,3.4916822976301
5548,2.92233234527437
6067,25.0652490504647
5623,4.11434396293851
1808,2.11944479060507
6754,1.90667567358133
1191,2.52473636262409
5623,2.78391752140857
1313,3.18900086018299
5197,7.74843638343041
7129,1.88635322555692
6516,2.00296200580207
6149,1.92979299406703
4696,2.00106918258395
4365,2.26474203064319
1530,2.99982795230632
4824,1.88507775602781
3479,2.98242372809781
91,2.0772346427305
4663,1.67557610370679
4479,2.08609554182521
3460,2.36267447088084
274,2.92360933438386
546,2.48945579288653
5475,2.71622509919391
6636,2.11403067442555
1675,2.88392797284903
565,1.95997072732473
1538,2.83067700804235
5234,2.13049021876571
523,3.07228674337042
1514,1.90163867734197
2664,2.68606423848548
5602,2.59622994211781
7077,3.48932345144887
2938,2.68824636158883
5517,2.45397837896823
6283,4.40679421370888
2016,4.04158591302023
5305,2.24070313337466
5173,2.09323562689961
2974,2.17323856721382
3471,2.81914198791659
3215,2.25376645539295
3055,3.72076136853455
6046,1.89306286080616
2110,2.14543376150243
4339,3.03334486360481
1615,1.86429511438624
3888,2.36325351083522
4229,2.54197672935555
6187,3.7780691451662
6873,2.09565409041245
5610,1.90903443807627
1606,2.12292207787863
1406,1.65358349173833
4112,1.81322564504755
2131,2.44811843610238
5259,2.88205369201978
3063,2.1821020942355
3920,2.64666330635045
5513,2.01770251064409
3079,2.98337360595722
4972,2.56666624206457
5318,2.39586031883376
4616,2.2830532928587
5893,2.51003421143537
6980,1.57092175115588
6801,1.82284766216373
4972,2.11660646656783
5489,2.08158525656922
1615,2.69249156033425
2939,3.40172009557375
570,2.69353707030632
1706,2.73899928702181
4765,2.97167974257778
6164,3.18801434471242
6844,2.28908884895083
1065,2.03275976403697
5646,1.80050297981608
2558,2.20078002057189
2941,2.96816852374561
5173,2.50732883641248
4338,3.02565761421151
1187,2.70164403641411
637,1.79185703805601
2381,1.90884226516979
6592,1.80575660183737
3941,2.74965898621561
2149,2.80546251212321
6802,2.44871075701122
5604,2.95477467531737
6631,2.66298816942633
6643,2.89307563076025
1007,4.32952396109575
3154,2.74512439217917
1531,3.14824126261976
5764,3.31993343027629
4319,2.19332395095884
2784,3.17019046740798
637,1.859847163642
6574,2.22046441288059
5610,2.28079195988707
2381,3.35880495690126
252,2.21979785081587
2729,2.61795254258126
1608,2.18644433067639
5652,2.64773327128556
2841,2.5956810751656
2963,2.1233833766807
6624,2.91901833378145
3699,1.99902647397484
4498,1.98332391779798
4344,2.97877448297577
1510,1.91386428185385
2940,2.39639348067418
5778,2.32500155985196
3111,3.30864094625974
1538,3.19244683302422
1372,1.79180538727089
6182,2.264294671024
4824,3.36009531319072
1465,3.75485226638786
3441,2.42610818018105
6282,3.28864254058424
6085,1.92115943085238
1021,2.18656259915373
4675,2.84999826794867
5364,2.67456886742892
4342,2.41352703084125
5876,2.34544204650562
6281,1.82606297775913
6807,2.27486278021924
3075,2.11260398921609
5856,2.260197625329
5764,2.50342789911426
6802,2.33840378365936
568,2.34356917757824
5325,2.69814118790173
3519,2.11440743698065
2103,3.15860740016739
7074,2.59417670645666
2918,2.12632595391101
5289,3.47732646842021
4741,3.41105559997534
7133,2.06228740817103
6696,2.04068274447389
3379,2.99076077178656
4741,2.13224229656265
2771,2.76609876380895
2609,2.50170434686348
5604,1.89706505509636
5619,11.6425651199589
2939,2.99950175834319
1383,2.27034474726941
724,1.78887230172044
5814,3.69722320989883
814,1.55822184845288
1383,2.23402985812622
4725,3.60341970581069
3111,3.40729503417248
401,2.13377976531038
387,2.49939993567476
6752,2.2936638224174
206,2.40905434180566
4839,2.22383033791964
1675,2.39228017487575
1615,2.42241346925086
3219,3.27012830155804
2813,3.41155628215264
5604,2.65121434619927
3970,1.94951299969028
4385,3.07462371717916
5195,3.58208405243168
5875,2.18529190716636
6761,1.5984696830837
2729,2.65166442255289
7271,2.66110134247625
5462,2.31994851093681
1641,2.33070923259104
5490,2.44633641290053
1659,2.38926338036796
6941,2.52925170992924
4550,2.4489613659144
1675,2.32542704644933
4770,2.80145100005635
2483,2.69568590031775
3001,1.88776967230884
567,2.13598208740174
1704,3.98181342988117
3359,2.74892292221569
5778,3.2463364680677
6944,2.82552366105015
5450,2.94988417491645
6054,2.724895820871
5821,2.96819015305514
2975,2.48554182174099
3146,1.9946116455741
6182,2.48124535384462
3091,2.88676232790038
4228,1.76272101260951
3119,2.85393997887451
643,2.18686116575364
1538,3.2142162587584
4675,2.65122531196058
4392,2.06639096249697
3411,2.29151065822628
240,1.86057490022349
6592,2.3278194618119
2911,3.22512925626375
238,1.86692381890731
986,3.65790345633029
1678,3.64106439036843
3083,2.45589766826716
2813,3.25844841193916
6984,2.69002027715012
5967,2.23715182727951
3184,2.36004284906314
3457,2.64207389797029
1093,2.36761247409789
2126,1.57747110454342
3240,1.92937456405518
556,2.41263837058929
7236,2.07415971118379
6979,2.84885025976629
2108,2.61330848733099
3641,3.29462472867979
5586,2.10303076404118
3188,3.35251052215307
6858,2.87276888405132
4824,2.08563597320547
1657,2.42513141764009
7199,2.12094177138912
960,2.21023022332997
2045,2.42346888144185
254,2.52717848616965
3186,2.66781826191712
3121,2.13245317716184
1490,2.54406195066356
2580,2.34178149787698
5341,3.5792978860929
7249,1.82247292740456
5820,3.94671903474047
3509,1.97727668828218
3441,2.84121656931818
1535,3.83591523992829
5623,2.64971909228557
1007,2.39367067669043
4741,6.01896471219369
7133,2.40142767172988
4293,6.13582241549207
5381,2.93492031268438
1384,2.95898486016342
258,1.88805965927669
5792,2.47848920741136
2470,4.07139971880066
5640,2.05468883542193
5194,1.96930434078356
2339,2.33946266811572
2163,2.39955631575799
3498,1.91588584758804
7073,2.26228886359112
3055,1.99210674757232
3865,2.29559480133192
132,4.86776097182742
3083,2.19718234098374
3797,2.12447941514183
1443,2.84833677492256
620,2.00161953720315
398,2.54793241801851
4675,2.48896447308102
3410,2.4102765852547
6228,2.11984962412502
557,2.20291996822752
4735,4.03411454317974
5819,2.93950505231526
1001,2.39082290068577
1806,2.33908176671174
2544,2.62464509146547
5652,2.43876049641221
1675,2.88885803913162
2125,1.86762962188066
5623,1.74606133286937
4619,2.11579698275726
6776,3.21829765408764
4279,5.14862142937376
217,2.67813827931828
6221,2.11159635381851
4335,2.24675934265608
4344,2.44416946785721
6460,1.70666480862802
4675,3.09929652366925
4339,2.54231362819587
5096,1.9767851260132
2722,2.52436544726037
1744,2.33060694531294
324,1.86852935050857
2693,1.87089892209521
7061,2.3595118369937
3634,3.34619856196499
1516,3.49902190236546
6283,2.20082563793794
2114,1.84450997076186
4029,2.86616777586005
1406,2.02950150518037
6628,2.19689503870263
4916,1.80975433908121
1783,2.99850006258275
2941,3.03506232013612
274,2.8362557350697
4984,3.44980467165268
3072,2.1880336211255
6220,2.81085555194506
3113,2.49570328887732
3121,2.93237547466972
5558,3.71636760012162
6625,2.68030025769783
4173,2.06883222781299
3637,2.32546326900272
655,1.74619509045445
5748,2.56500104717166
558,2.04321227530236
5378,2.24597390924052
2990,2.78707587813629
5819,2.32896084169863
1672,2.57950221656673
5154,1.80218962863171
7118,3.68486268071905
2688,2.10370784966034
6629,3.52028392562818
7254,2.13516963662479
1446,1.82020418556389
6230,2.41476195784986
6565,1.79994065781522
6049,2.01364265073036
4181,1.97962603997288
6055,2.21457651420367
6256,2.9812082623202
2205,2.90282335223773
6063,3.4913653497274
2506,3.18369448272113
2279,3.2729234875292
4726,2.40674146709292
2329,2.62301512503364
5326,2.09449707100943
2124,3.5838460972558
1531,1.64319195549656
557,2.30906139070439
6241,2.84012418336377
2387,1.95305067315748
4766,3.02991422959613
3060,2.2956092109416
6253,1.88043220161442
4339,2.61814732505049
5820,2.30812027260051
6825,2.54511231334652
7255,2.95456200004284
6051,3.10828030903731
35,3.50814514904762
1808,2.93967923585596
1375,1.91651357260625
252,3.01300374804235
6027,4.0798257250862
6618,2.48497288240153
2971,2.61359128116191
4393,2.73915562815644
5708,3.29939991197723
3101,2.60253094151011
501,2.18099710913736
6056,2.77243667540879
3079,2.4070010061638
1656,2.36580004213408
5339,2.49739091324492
3411,2.23326343038249
4763,7.14458989088407
6621,1.82674670296039
5216,2.16334346989219
1388,2.0617961818162
502,1.70364663553928
6328,2.13203588356063
1374,2.51486639753289
6059,2.17163626400264
206,3.44838620440067
5640,2.61534009093883
4087,2.25072456811485
5209,3.23784086619345
5914,3.5697545032185
3062,2.23216771761313
6045,2.05914852031241
6786,1.82610774074436
324,2.5660204152061
1493,2.86129753182296
5620,2.21247195671081
1705,1.71854787552144
1896,1.78296858169531
1173,2.75474520230364
4675,3.37665515476618
6690,2.59031392375016
5895,1.96689061252116
3908,2.21751137702571
1807,1.87258410589787
4605,3.08252035431368
227,3.3172956180951
2506,2.67762563020899
2180,3.73246883303018
1018,9.70989604896602
5505,2.66146428070186
5400,2.55539752788483
426,2.74430981194409
1013,12.7206493897343
3115,1.86435072885561
794,3.32080195859487
5893,2.32043381020752
6362,1.92392351436968
5658,1.60183356990587
4130,2.52828770122256
